entry_id	kingdom	phylum	class	order	family	genus	species	cell_type	gene_symbol	cell_subtype	sample_type	tissue_type	pubmed_id	journal	title	geo_id
1565	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"APOE, PTN, TTYH1, GLUL, CALM2, SLC1A3, WIF1, SLITRK2, TNIK, AC092535.1, MAP1B, SDC4, TUBB2A, CKB, HNRNPL, CXCL14, F3, HES4, TMSB10, PON2, BEX1, ITM2C, SP25, PCSK1N, R5-8SN1, IGFBP7, DDX17, RBM6, GAN, TOB, ACTB"	Cluster_5	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1566	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"ALAT1, GFAP, NEAT1, FP236383.2, SORBS1, PLP1, CEBPD, TSC22D1, PRRG3, SP100, HILPDA, COL6A3, RASD1, CHI3L1, SLC14A1, SAT1, HNRNPH1, PCDH9, PRKCA, BCL6, LINC00969, ANKRD36B, HIF3A, ITGB8, DT, HSPA1B, ETNPPL"	Cluster_6	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1567	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"SLC1A2, GLUL, CLU, PON2, MT2A, NEAT1, APOE, SLC1A3, COL5A3, ATP1B2, PTGDS, CST3, NTM, CPE, C1orf61, ATP1A2, ADGRV1, AQP4, MT3, MT1E, EMX2, GJA1, CKB, FAM171B, NDRG2, MT1G, NTRK2, GFAP, TTYH1, FGFR3, MT1F, SFXN5, SPARCL1, DDX17, HIF3A, MT1M, TUBB2B, DST"	Astrocytes	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1568	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"MT2A, MT1F, MT1E, MT1X, MT1G, MT1M, FTL, MT3, FAM171B, TPD52L1, EGLN3, CPE, GJB6, EPHX1, TKT, CLU, RGCC, NUPR1"	Cluster_1	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1569	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"HSP90AA1, HSPB1, CRYAB, MTATP6P1, HSPA1A, UBC, CALM1, HSP90AB1, ATP1B1, GPM6B, CCK, VAMP2, MAP1A, NRGN, EEF1A1, EIF1, TMSB4X"	Cluster_2	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1570	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"COL5A3, FGFR3, C1orf61, NTM, AC007325.2, SLC1A2, CIRBP, ADGRV1, T8L, NCAN, SFXN5, SON, SNRNP70, MIAT, LCNL1, NDRG2, SRRM2, LUC7L3, DST, MFGE8, MTSS1L, MACF1, IQCA1, NPIPB5, PLXNB1, NPIPB3, PDGFRB"	Cluster_3	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1571	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"MICALL2, ATP1B2, CARMIL1, CAPN2, NPIPB12, ATP1A2, ACSL6, SYNE1, ADGRG1, COL16A1, AL391807.1, ACSS1, GABBR1, LINC00982, ADGRB1, ANKDD1A, LSAMP, ACADVL, R5-8S5, R5-8SN5, LGI4, FNBP1, GOLGA8B"	Cluster_4	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1572	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"APOE, PTN, TTYH1, GLUL, CALM2, SLC1A3, WIF1, SLITRK2, TNIK, AC092535.1, MAP1B, SDC4, TUBB2A, CKB, HNRNPL, CXCL14, F3, HES4, TMSB10, PON2, BEX1, ITM2C, SP25, PCSK1N, R5-8SN1, IGFBP7, DDX17, RBM6, GAN, TOB, ACTB"	Cluster_5	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1573	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Astrocytes	"ALAT1, GFAP, NEAT1, FP236383.2, SORBS1, PLP1, CEBPD, TSC22D1, PRRG3, SP100, HILPDA, COL6A3, RASD1, CHI3L1, SLC14A1, SAT1, HNRNPH1, PCDH9, PRKCA, BCL6, LINC00969, ANKRD36B, HIF3A, ITGB8, DT, HSPA1B, ETNPPL"	Cluster_6	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
1574	Animalia	Chordata	Mammalia	Primates	Homidae	Homo	Homo sapiens	Endothelial cells	"CLDN5, BSG, IFITM3, TSC22D1, B2M, IFI27, ID3, IGFBP7, HLA-B, SLC9A3R2, EMP2, ITM2A, DUSP1, TMSB10, IFITM2, BST2, ID1, H3F3B, EGFL7, UBC, C10orf10, HSPA1A"	Endothelial cells	Tissue	Brain	32070434	Acta Neuropathol Commun	Single-nucleus RNA-seq identifies Huntington disease astrocyte states	NA
